,link
0,/date/1992-12-31/?ref_=bo_di_table_1
1,/date/1992-12-30/?ref_=bo_di_table_2
2,/date/1992-12-29/?ref_=bo_di_table_3
3,/date/1992-12-28/?ref_=bo_di_table_4
4,/date/1992-12-27/?ref_=bo_di_table_5
5,/date/1992-12-26/?ref_=bo_di_table_6
6,/date/1992-12-25/?ref_=bo_di_table_7
7,/date/1992-12-24/?ref_=bo_di_table_8
8,/date/1992-12-23/?ref_=bo_di_table_9
9,/date/1992-12-22/?ref_=bo_di_table_10
10,/date/1992-12-21/?ref_=bo_di_table_11
11,/date/1992-12-20/?ref_=bo_di_table_12
12,/date/1992-12-19/?ref_=bo_di_table_13
13,/date/1992-12-18/?ref_=bo_di_table_14
14,/date/1992-12-17/?ref_=bo_di_table_15
15,/date/1992-12-16/?ref_=bo_di_table_16
16,/date/1992-12-15/?ref_=bo_di_table_17
17,/date/1992-12-14/?ref_=bo_di_table_18
18,/date/1992-12-13/?ref_=bo_di_table_19
19,/date/1992-12-12/?ref_=bo_di_table_20
20,/date/1992-12-11/?ref_=bo_di_table_21
21,/date/1992-12-10/?ref_=bo_di_table_22
22,/date/1992-12-09/?ref_=bo_di_table_23
23,/date/1992-12-08/?ref_=bo_di_table_24
24,/date/1992-12-07/?ref_=bo_di_table_25
25,/date/1992-12-06/?ref_=bo_di_table_26
26,/date/1992-12-05/?ref_=bo_di_table_27
27,/date/1992-12-04/?ref_=bo_di_table_28
28,/date/1992-12-03/?ref_=bo_di_table_29
29,/date/1992-12-02/?ref_=bo_di_table_30
30,/date/1992-12-01/?ref_=bo_di_table_31
31,/date/1992-11-30/?ref_=bo_di_table_32
32,/date/1992-11-29/?ref_=bo_di_table_33
33,/date/1992-11-28/?ref_=bo_di_table_34
34,/date/1992-11-27/?ref_=bo_di_table_35
35,/date/1992-11-26/?ref_=bo_di_table_36
36,/date/1992-11-25/?ref_=bo_di_table_37
37,/date/1992-11-24/?ref_=bo_di_table_38
38,/date/1992-11-23/?ref_=bo_di_table_39
39,/date/1992-11-22/?ref_=bo_di_table_40
40,/date/1992-11-21/?ref_=bo_di_table_41
41,/date/1992-11-20/?ref_=bo_di_table_42
42,/date/1992-11-19/?ref_=bo_di_table_43
43,/date/1992-11-18/?ref_=bo_di_table_44
44,/date/1992-11-17/?ref_=bo_di_table_45
45,/date/1992-11-16/?ref_=bo_di_table_46
46,/date/1992-11-15/?ref_=bo_di_table_47
47,/date/1992-11-14/?ref_=bo_di_table_48
48,/date/1992-11-13/?ref_=bo_di_table_49
49,/date/1992-11-12/?ref_=bo_di_table_50
50,/date/1992-11-11/?ref_=bo_di_table_51
51,/date/1992-11-10/?ref_=bo_di_table_52
52,/date/1992-11-09/?ref_=bo_di_table_53
53,/date/1992-11-08/?ref_=bo_di_table_54
54,/date/1992-11-07/?ref_=bo_di_table_55
55,/date/1992-11-06/?ref_=bo_di_table_56
56,/date/1992-11-05/?ref_=bo_di_table_57
57,/date/1992-11-04/?ref_=bo_di_table_58
58,/date/1992-11-03/?ref_=bo_di_table_59
59,/date/1992-11-02/?ref_=bo_di_table_60
60,/date/1992-11-01/?ref_=bo_di_table_61
61,/date/1992-10-31/?ref_=bo_di_table_62
62,/date/1992-10-30/?ref_=bo_di_table_63
63,/date/1992-10-29/?ref_=bo_di_table_64
64,/date/1992-10-28/?ref_=bo_di_table_65
65,/date/1992-10-27/?ref_=bo_di_table_66
66,/date/1992-10-26/?ref_=bo_di_table_67
67,/date/1992-10-25/?ref_=bo_di_table_68
68,/date/1992-10-24/?ref_=bo_di_table_69
69,/date/1992-10-23/?ref_=bo_di_table_70
70,/date/1992-10-22/?ref_=bo_di_table_71
71,/date/1992-10-21/?ref_=bo_di_table_72
72,/date/1992-10-20/?ref_=bo_di_table_73
73,/date/1992-10-19/?ref_=bo_di_table_74
74,/date/1992-10-18/?ref_=bo_di_table_75
75,/date/1992-10-17/?ref_=bo_di_table_76
76,/date/1992-10-16/?ref_=bo_di_table_77
77,/date/1992-10-15/?ref_=bo_di_table_78
78,/date/1992-10-14/?ref_=bo_di_table_79
79,/date/1992-10-13/?ref_=bo_di_table_80
80,/date/1992-10-12/?ref_=bo_di_table_81
81,/date/1992-10-11/?ref_=bo_di_table_82
82,/date/1992-10-10/?ref_=bo_di_table_83
83,/date/1992-10-09/?ref_=bo_di_table_84
84,/date/1992-10-08/?ref_=bo_di_table_85
85,/date/1992-10-07/?ref_=bo_di_table_86
86,/date/1992-10-06/?ref_=bo_di_table_87
87,/date/1992-10-05/?ref_=bo_di_table_88
88,/date/1992-10-04/?ref_=bo_di_table_89
89,/date/1992-10-03/?ref_=bo_di_table_90
90,/date/1992-10-02/?ref_=bo_di_table_91
91,/date/1992-10-01/?ref_=bo_di_table_92
92,/date/1992-09-30/?ref_=bo_di_table_93
93,/date/1992-09-29/?ref_=bo_di_table_94
94,/date/1992-09-28/?ref_=bo_di_table_95
95,/date/1992-09-27/?ref_=bo_di_table_96
96,/date/1992-09-26/?ref_=bo_di_table_97
97,/date/1992-09-25/?ref_=bo_di_table_98
98,/date/1992-09-24/?ref_=bo_di_table_99
99,/date/1992-09-23/?ref_=bo_di_table_100
100,/date/1992-09-22/?ref_=bo_di_table_101
101,/date/1992-09-21/?ref_=bo_di_table_102
102,/date/1992-09-20/?ref_=bo_di_table_103
103,/date/1992-09-19/?ref_=bo_di_table_104
104,/date/1992-09-18/?ref_=bo_di_table_105
105,/date/1992-09-17/?ref_=bo_di_table_106
106,/date/1992-09-16/?ref_=bo_di_table_107
107,/date/1992-09-15/?ref_=bo_di_table_108
108,/date/1992-09-14/?ref_=bo_di_table_109
109,/date/1992-09-13/?ref_=bo_di_table_110
110,/date/1992-09-12/?ref_=bo_di_table_111
111,/date/1992-09-11/?ref_=bo_di_table_112
112,/date/1992-09-10/?ref_=bo_di_table_113
113,/date/1992-09-09/?ref_=bo_di_table_114
114,/date/1992-09-08/?ref_=bo_di_table_115
115,/date/1992-09-07/?ref_=bo_di_table_116
116,/date/1992-09-06/?ref_=bo_di_table_117
117,/date/1992-09-05/?ref_=bo_di_table_118
118,/date/1992-09-04/?ref_=bo_di_table_119
119,/date/1992-09-03/?ref_=bo_di_table_120
120,/date/1992-09-02/?ref_=bo_di_table_121
121,/date/1992-09-01/?ref_=bo_di_table_122
122,/date/1992-08-31/?ref_=bo_di_table_123
123,/date/1992-08-30/?ref_=bo_di_table_124
124,/date/1992-08-29/?ref_=bo_di_table_125
125,/date/1992-08-28/?ref_=bo_di_table_126
126,/date/1992-08-27/?ref_=bo_di_table_127
127,/date/1992-08-26/?ref_=bo_di_table_128
128,/date/1992-08-25/?ref_=bo_di_table_129
129,/date/1992-08-24/?ref_=bo_di_table_130
130,/date/1992-08-23/?ref_=bo_di_table_131
131,/date/1992-08-22/?ref_=bo_di_table_132
132,/date/1992-08-21/?ref_=bo_di_table_133
133,/date/1992-08-20/?ref_=bo_di_table_134
134,/date/1992-08-19/?ref_=bo_di_table_135
135,/date/1992-08-18/?ref_=bo_di_table_136
136,/date/1992-08-17/?ref_=bo_di_table_137
137,/date/1992-08-16/?ref_=bo_di_table_138
138,/date/1992-08-15/?ref_=bo_di_table_139
139,/date/1992-08-14/?ref_=bo_di_table_140
140,/date/1992-08-13/?ref_=bo_di_table_141
141,/date/1992-08-12/?ref_=bo_di_table_142
142,/date/1992-08-11/?ref_=bo_di_table_143
143,/date/1992-08-10/?ref_=bo_di_table_144
144,/date/1992-08-09/?ref_=bo_di_table_145
145,/date/1992-08-08/?ref_=bo_di_table_146
146,/date/1992-08-07/?ref_=bo_di_table_147
147,/date/1992-08-06/?ref_=bo_di_table_148
148,/date/1992-08-05/?ref_=bo_di_table_149
149,/date/1992-08-04/?ref_=bo_di_table_150
150,/date/1992-08-03/?ref_=bo_di_table_151
151,/date/1992-08-02/?ref_=bo_di_table_152
152,/date/1992-08-01/?ref_=bo_di_table_153
153,/date/1992-07-31/?ref_=bo_di_table_154
154,/date/1992-07-30/?ref_=bo_di_table_155
155,/date/1992-07-29/?ref_=bo_di_table_156
156,/date/1992-07-28/?ref_=bo_di_table_157
157,/date/1992-07-27/?ref_=bo_di_table_158
158,/date/1992-07-26/?ref_=bo_di_table_159
159,/date/1992-07-25/?ref_=bo_di_table_160
160,/date/1992-07-24/?ref_=bo_di_table_161
161,/date/1992-07-23/?ref_=bo_di_table_162
162,/date/1992-07-22/?ref_=bo_di_table_163
163,/date/1992-07-21/?ref_=bo_di_table_164
164,/date/1992-07-20/?ref_=bo_di_table_165
165,/date/1992-07-19/?ref_=bo_di_table_166
166,/date/1992-07-18/?ref_=bo_di_table_167
167,/date/1992-07-17/?ref_=bo_di_table_168
168,/date/1992-07-16/?ref_=bo_di_table_169
169,/date/1992-07-15/?ref_=bo_di_table_170
170,/date/1992-07-14/?ref_=bo_di_table_171
171,/date/1992-07-13/?ref_=bo_di_table_172
172,/date/1992-07-12/?ref_=bo_di_table_173
173,/date/1992-07-11/?ref_=bo_di_table_174
174,/date/1992-07-10/?ref_=bo_di_table_175
175,/date/1992-07-09/?ref_=bo_di_table_176
176,/date/1992-07-08/?ref_=bo_di_table_177
177,/date/1992-07-07/?ref_=bo_di_table_178
178,/date/1992-07-06/?ref_=bo_di_table_179
179,/date/1992-07-05/?ref_=bo_di_table_180
180,/date/1992-07-04/?ref_=bo_di_table_181
181,/date/1992-07-03/?ref_=bo_di_table_182
182,/date/1992-07-02/?ref_=bo_di_table_183
183,/date/1992-07-01/?ref_=bo_di_table_184
184,/date/1992-06-30/?ref_=bo_di_table_185
185,/date/1992-06-29/?ref_=bo_di_table_186
186,/date/1992-06-28/?ref_=bo_di_table_187
187,/date/1992-06-27/?ref_=bo_di_table_188
188,/date/1992-06-26/?ref_=bo_di_table_189
189,/date/1992-06-25/?ref_=bo_di_table_190
190,/date/1992-06-24/?ref_=bo_di_table_191
191,/date/1992-06-23/?ref_=bo_di_table_192
192,/date/1992-06-22/?ref_=bo_di_table_193
193,/date/1992-06-21/?ref_=bo_di_table_194
194,/date/1992-06-20/?ref_=bo_di_table_195
195,/date/1992-06-19/?ref_=bo_di_table_196
196,/date/1992-06-18/?ref_=bo_di_table_197
197,/date/1992-06-17/?ref_=bo_di_table_198
198,/date/1992-06-16/?ref_=bo_di_table_199
199,/date/1992-06-15/?ref_=bo_di_table_200
200,/date/1992-06-14/?ref_=bo_di_table_201
201,/date/1992-06-13/?ref_=bo_di_table_202
202,/date/1992-06-12/?ref_=bo_di_table_203
203,/date/1992-06-11/?ref_=bo_di_table_204
204,/date/1992-06-10/?ref_=bo_di_table_205
205,/date/1992-06-09/?ref_=bo_di_table_206
206,/date/1992-06-08/?ref_=bo_di_table_207
207,/date/1992-06-07/?ref_=bo_di_table_208
208,/date/1992-06-06/?ref_=bo_di_table_209
209,/date/1992-06-05/?ref_=bo_di_table_210
210,/date/1992-06-04/?ref_=bo_di_table_211
211,/date/1992-06-03/?ref_=bo_di_table_212
212,/date/1992-06-02/?ref_=bo_di_table_213
213,/date/1992-06-01/?ref_=bo_di_table_214
214,/date/1992-05-31/?ref_=bo_di_table_215
215,/date/1992-05-30/?ref_=bo_di_table_216
216,/date/1992-05-29/?ref_=bo_di_table_217
217,/date/1992-05-28/?ref_=bo_di_table_218
218,/date/1992-05-27/?ref_=bo_di_table_219
219,/date/1992-05-26/?ref_=bo_di_table_220
220,/date/1992-05-25/?ref_=bo_di_table_221
221,/date/1992-05-24/?ref_=bo_di_table_222
222,/date/1992-05-23/?ref_=bo_di_table_223
223,/date/1992-05-22/?ref_=bo_di_table_224
224,/date/1992-05-21/?ref_=bo_di_table_225
225,/date/1992-05-20/?ref_=bo_di_table_226
226,/date/1992-05-19/?ref_=bo_di_table_227
227,/date/1992-05-18/?ref_=bo_di_table_228
228,/date/1992-05-17/?ref_=bo_di_table_229
229,/date/1992-05-16/?ref_=bo_di_table_230
230,/date/1992-05-15/?ref_=bo_di_table_231
231,/date/1992-05-14/?ref_=bo_di_table_232
232,/date/1992-05-13/?ref_=bo_di_table_233
233,/date/1992-05-12/?ref_=bo_di_table_234
234,/date/1992-05-11/?ref_=bo_di_table_235
235,/date/1992-05-10/?ref_=bo_di_table_236
236,/date/1992-05-09/?ref_=bo_di_table_237
237,/date/1992-05-08/?ref_=bo_di_table_238
238,/date/1992-05-07/?ref_=bo_di_table_239
239,/date/1992-05-06/?ref_=bo_di_table_240
