,IMDB ID,MPAA,genres,in release,movie name,opening,release date,running time,widest release
0,tt5657846,PG-13,Comedy,417,Daddy's Home 2,29651193,"Nov 10, 2017
            -
            Feb 15, 2018",1.67,3575
1,tt4143508,R,Documentary,221,Long Strange Trip - The Untold Story of The Grateful Dead,33272,"May 25, 2017
            -
            Jun 1, 2017",3.9699999999999998,56
2,tt6461514,N/A,"Comedy
    
        Drama
    
        Fantasy",325,Duckweed,160739,"Feb 10, 2017
            -
            Mar 23, 2017",1.7,30
3,tt5882970,N/A,"Drama
    
        War",192,Tubelight,930058,"Jun 23, 2017
            -
            Jun 25, 2017",2.27,338
4,tt0451069,PG,"Drama
    
        Music",91,The Gospel,7523571,"Oct 7, 2005
            -
            Nov 20, 2005",1.75,983
5,tt5241356,N/A,Documentary,304,The Freedom to Marry,6142,"Mar 3, 2017
            -
            Apr 20, 2017",1.43,3
6,tt5472758,N/A,"Comedy
    
        Romance",135,Happy Bhaag Jayegi,159895,"Aug 19, 2016
            -
            Sep 22, 2016",2.1,78
7,tt4925292,R,"Comedy
    
        Drama",424,Lady Bird,364437,"Nov 3, 2017 (Nov 24, 2017)
            -
            Apr 5, 2018",1.5699999999999998,1557
8,tt4849438,N/A,"Action
    
        Drama",248,Baahubali 2: The Conclusion,10430497,"Apr 28, 2017
            -
            May 25, 2017",2.7800000000000002,425
9,tt2126235,PG-13,"Action
    
        Crime
    
        Thriller",311,Collide,1512824,"Feb 24, 2017
            -
            Mar 9, 2017",1.65,2045
10,tt0390022,PG-13,"Action
    
        Drama
    
        Sport",91,Friday Night Lights,20269025,"Oct 8, 2004
            -
            Dec 30, 2004",1.97,3004
11,tt4864932,N/A,"Action
    
        Thriller",247,Baaghi,237215,"Apr 29, 2016
            -
            May 26, 2016",2.22,78
12,tt2898306,N/A,"Biography
    
        Documentary
    
        Drama
    
        Sport",458,Harry & Snowman,56842,"Sep 30, 2016
            -
            Feb 23, 2017",1.4,25
13,tt0103064,R,"Action
    
        Sci-Fi",129,Terminator 2: Judgment Day,552773,"Aug 25, 2017
            -
            Sep 28, 2017",2.2800000000000002,371
14,tt1610525,R,"Biography
    
        Drama
    
        Sport",241,Chuck,34565,"May 5, 2017
            -
            Jun 11, 2017",1.63,120
15,tt0034583,PG,"Drama
    
        Romance
    
        War",54,Casablanca,596068,"Nov 12, 2017
            -
            Nov 15, 2017",1.7,725
16,tt0349710,PG-13,"Action
    
        Drama
    
        Thriller",457,Ladder 49,22088204,"Oct 1, 2004
            -
            Feb 24, 2005",1.92,3261
17,tt0364517,R,"Comedy
    
        Drama
    
        Romance",231,Love Me If You Dare,21546,"May 21, 2004
            -
            Dec 19, 2004",1.55,56
18,tt4074502,N/A,"Biography
    
        Documentary",597,Dark Star: HR Gigers Welt,8349,"May 15, 2015
            -
            Sep 7, 2015",1.58,10
19,tt4191702,R,"Drama
    
        Thriller",262,Norman,99211,"Apr 14, 2017
            -
            Jul 30, 2017",1.97,373
20,tt6333086,PG,Drama,157,Menashe,62078,"Jul 28, 2017
            -
            Oct 19, 2017",1.37,126
21,tt7522002,PG,Documentary,53,Genesis: Paradise Lost,131074,"Nov 13, 2017
            -
            Dec 11, 2017",2.17,419
22,tt0395972,R,Drama,437,North Country,6422455,"Oct 21, 2005
            -
            Jan 12, 2006",2.1,2555
23,tt0335119,PG-13,"Biography
    
        Drama
    
        Romance",386,Girl with a Pearl Earring,89472,"Dec 12, 2003
            -
            May 9, 2004",1.67,402
24,tt0380277,PG-13,Comedy,126,The Cookout,5600000,"Sep 3, 2004
            -
            Nov 25, 2004",1.62,1303
25,tt0377084,PG-13,"Drama
    
        Music
    
        Romance",247,Ladies in Lavender,149224,"Apr 29, 2005
            -
            Nov 3, 2005",1.73,119
26,tt0331933,PG-13,"Comedy
    
        Crime",310,Man of the House,8917251,"Feb 25, 2005
            -
            Apr 7, 2005",1.67,2422
27,tt0803096,PG-13,"Action
    
        Adventure
    
        Fantasy",205,Warcraft,24166110,"Jun 10, 2016
            -
            Sep 8, 2016",2.05,3406
28,tt5078354,R,"Biography
    
        Drama",276,Cezanne et Moi,15744,"Mar 31, 2017
            -
            Jun 29, 2017",1.95,29
29,tt5265960,N/A,"Drama
    
        Horror
    
        Sci-Fi
    
        Thriller",164,The Untamed,2718,"Jul 21, 2017
            -
            Oct 19, 2017",1.63,8
30,tt0307987,R,"Comedy
    
        Crime
    
        Drama",402,Bad Santa,12500000,"Nov 26, 2003
            -
            Mar 25, 2004",1.53,2540
31,tt0357507,PG-13,"Drama
    
        Horror
    
        Mystery
    
        Thriller",331,Boogeyman,19020655,"Feb 4, 2005
            -
            Mar 31, 2005",1.48,3052
32,tt0258816,R,"Crime
    
        Drama
    
        Mystery",302,The Reckoning,18044,"Mar 5, 2004
            -
            Jul 1, 2004",1.87,32
33,tt0369339,R,"Crime
    
        Drama
    
        Thriller",154,Collateral,24701458,"Aug 6, 2004
            -
            Nov 25, 2004",N/A,3205
34,tt0365737,R,"Drama
    
        Thriller",404,Syriana,374502,"Nov 23, 2005 (Dec 9, 2005)
            -
            Apr 20, 2006",2.13,1775
35,tt1212428,PG-13,"Biography
    
        Drama
    
        History",262,The Lost City of Z,110175,"Apr 14, 2017 (Apr 21, 2017)
            -
            Jul 20, 2017",2.35,866
36,tt6010020,N/A,"Adventure
    
        Drama
    
        History
    
        War",199,Warriors of the Dawn,41959,"Jun 16, 2017
            -
            Jun 29, 2017",2.17,32
37,tt0337876,R,"Drama
    
        Fantasy
    
        Mystery
    
        Thriller",429,Birth,1282000,"Oct 29, 2004
            -
            Jan 13, 2005",1.67,550
38,tt0368709,PG-13,"Comedy
    
        Drama
    
        Romance",84,Elizabethtown,10618711,"Oct 14, 2005
            -
            Dec 20, 2005",2.05,2517
